RANKING,NAME,GENRES,POPULARITY
1,Dead Fish,"brazilian hardcore, brazilian punk, brazilian rock, hard rock brasileiro",44
2,Fresno,"brazilian emo, brazilian rock, novo rock gaucho, pop rock brasileiro",51
3,Terno Rei,"brazilian rock, nova mpb, shoegaze brasileiro",47
4,MHRAP,"nerdcore brasileiro, rap geek",58
5,Post Malone,"dfw rap, melodic rap, pop, rap",86
6,Scalene,"brazilian rock, rock brasiliense",41
7,Bring Me The Horizon,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",76
8,7 Minutoz,"nerdcore brasileiro, rap geek",61
9,Pense,"brazilian hardcore, brazilian post-hardcore, brazilian rock",31
10,Project46,"brazilian hardcore, brazilian metal, brazilian metalcore, brazilian post-hardcore, brazilian rock",31
