NAME,GENRES,IMAGE,POPULARITY,LINK SPOTIFY,FOLLOWERS
Dead Fish,"brazilian hardcore, brazilian punk, brazilian rock, hard rock brasileiro",https://i.scdn.co/image/ab67616100005174f26da9ce1dac576af393f19a,44,https://open.spotify.com/artist/7Lvg39k5XgXevGR767ikYI,177177
Fresno,"brazilian emo, brazilian rock, novo rock gaucho, pop rock brasileiro",https://i.scdn.co/image/ab6761610000517492bd324ad54568c253aaeeee,51,https://open.spotify.com/artist/2sFXe6NbmT3k7Qy4N8fE7f,508461
Terno Rei,"brazilian rock, nova mpb, shoegaze brasileiro",https://i.scdn.co/image/ab67616100005174411036f7abb9aaf0cb5bc01e,47,https://open.spotify.com/artist/7c8kQb9AUntvapfnuC3IhF,128105
MHRAP,"nerdcore brasileiro, rap geek",https://i.scdn.co/image/ab67616100005174ff95615da3e68fbba1ebde6a,58,https://open.spotify.com/artist/7w4W5Yr7oTBAqhglv0IP87,2102853
Post Malone,"dfw rap, melodic rap, pop, rap",https://i.scdn.co/image/ab676161000051746be070445b03e0b63147c2c1,86,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,42795473
Scalene,"brazilian rock, rock brasiliense",https://i.scdn.co/image/ab676161000051746b297a5811fde3bef826a13c,41,https://open.spotify.com/artist/4PTd1rpXV7XDffOuLY7M0z,423761
Bring Me The Horizon,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",https://i.scdn.co/image/ab676161000051744fe3f438bb423dce135872b3,76,https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF,5196369
7 Minutoz,"nerdcore brasileiro, rap geek",https://i.scdn.co/image/ab6761610000517430b59f3723bf9b5de122ea68,61,https://open.spotify.com/artist/2563ILWHSx52eOxOoi5rJW,5532056
Pense,"brazilian hardcore, brazilian post-hardcore, brazilian rock",https://i.scdn.co/image/ab676161000051740bd76bf4d9f5f90f53328106,31,https://open.spotify.com/artist/5u7Nm1nRMAHWrzoVmCP7fo,42100
Project46,"brazilian hardcore, brazilian metal, brazilian metalcore, brazilian post-hardcore, brazilian rock",https://i.scdn.co/image/ab67616100005174a4271fca3fe6c8d6cd37340e,31,https://open.spotify.com/artist/4PdFQIzACemw18MfVS1LCF,54636
